Image Index,Object Index,Light Intensity
1,1,180.18344827301664
2,1,180.8499497213726
3,1,180.641058088496
4,1,178.78666229102637
5,1,179.20187515731186
6,1,178.9424892151716
7,1,178.09100462242256
8,1,173.32381866464667
9,1,176.5716164955629
10,1,178.1388304255929
11,1,178.77493709318526
12,1,183.4865991183234
13,1,188.3106645768025
14,1,187.67995932479153
15,1,179.70086071597618
16,1,180.01238608806895
17,1,177.64550768033564
18,1,179.3547860052921
19,1,175.49410168951428
20,1,176.85483251335307
21,1,176.28374355397224
22,1,173.53014615796104
23,1,185.90955581770666
24,1,176.24221800832964
25,1,178.36738865646348
26,1,178.6449864778381
27,1,173.55034871977148
