Image Index,ROI Index,Blue Intensity,Avg H,Avg S,Avg V,Avg R,Avg G,Avg B
1,1,62.086992481203005,114.84723684210526,127.86095238095238,63.10010651629073,34.58328947368421,36.25993107769423,62.086992481203005
2,1,63.30740601503759,114.85483709273183,127.7987969924812,64.35671679197995,35.319818295739346,36.782380952380954,63.30740601503759
3,1,64.01332706766917,115.26514411027568,127.39532581453633,65.04398496240601,35.888195488721806,37.05312030075188,64.01332706766917
4,1,63.82105263157895,115.13590852130326,126.72055137844612,64.89904135338345,36.12591478696742,37.18055137844612,63.82105263157895
5,1,64.51588345864661,115.95,127.06986215538848,65.47941729323308,36.36032581453634,37.03700501253133,64.51588345864661
6,1,58.74413533834586,116.62293859649122,127.43205513784461,59.980031328320806,34.456622807017546,33.21919799498747,58.74413533834586
7,1,64.46385964912281,115.06308897243107,127.71105263157895,65.4773245614035,36.04229323308271,37.33280701754386,64.46385964912281
8,1,64.50807644110276,115.71712406015038,126.48535714285714,65.51482456140351,36.55089598997494,37.26020050125313,64.50807644110276
9,1,64.72538847117795,115.71224310776942,127.73921679197996,65.67989348370928,36.21776315789474,37.09582706766917,64.72538847117795
10,1,64.51040100250627,115.47369047619047,127.2220426065163,65.53229949874687,36.30857769423559,37.221622807017546,64.51040100250627
11,1,64.89085213032581,115.83179824561404,127.35318922305764,65.88936090225565,36.51055137844612,37.2450313283208,64.89085213032581
12,1,59.02119674185464,116.70932330827068,126.97754385964912,60.27522556390977,34.755802005012534,33.30857769423559,59.02119674185464
13,1,65.27005639097744,115.74935463659148,127.49043233082706,66.33191102756892,36.774906015037594,37.395357142857144,65.27005639097744
14,1,59.33659147869674,116.74122180451128,127.18451754385966,60.64281954887218,35.078696741854635,33.38483082706767,59.33659147869674
15,1,65.4597619047619,116.18642230576441,127.3724686716792,66.4740350877193,37.08783834586466,37.39007518796993,65.4597619047619
16,1,59.177418546365914,117.36019423558898,127.10725563909774,60.39013157894737,35.12968045112782,33.200833333333335,59.177418546365914
17,1,58.585344611528825,117.34362781954887,128.0048558897243,59.83201754385965,34.75783834586466,32.61957393483709,58.585344611528825
18,1,59.261453634085214,116.87273182957394,127.34734962406014,60.49233709273183,34.84710526315789,33.26872180451128,59.261453634085214
19,1,65.22245614035087,116.71111528822055,127.8795551378446,66.15906015037594,36.85671052631579,36.901785714285715,65.22245614035087
20,1,59.39261904761905,117.1739223057644,127.68562030075188,60.63191729323308,35.04107142857143,33.12518796992481,59.39261904761905
21,1,65.78989348370928,116.72395989974937,128.11959899749374,66.72293233082706,37.07965538847118,36.94508145363409,65.78989348370928
22,1,59.53851503759398,116.63108395989975,127.95901002506265,60.776998746867164,34.75454260651629,33.4452694235589,59.53851503759398
23,1,66.07788847117794,116.5559649122807,128.1837969924812,67.0227694235589,37.004448621553884,37.27112155388471,66.07788847117794
24,1,59.47875939849624,117.28914786967418,128.0584335839599,60.697080200501254,34.982593984962406,32.98731203007519,59.47875939849624
25,1,65.11847744360902,116.21742481203007,127.11669799498746,66.13342731829574,36.876691729323305,37.0253634085213,65.11847744360902
26,1,65.34089598997494,116.23637844611528,127.28940476190476,66.3007268170426,36.846923558897245,37.18865914786967,65.34089598997494
27,1,65.4909962406015,116.13575187969924,128.46719298245614,66.44143483709273,36.61578947368421,37.03317042606516,65.4909962406015
28,1,65.39369047619047,116.10330200501254,128.5034962406015,66.35497493734336,36.49812656641604,37.20122180451128,65.39369047619047
29,1,65.22601503759398,116.12676065162907,127.64921052631578,66.23082706766917,36.74622807017544,37.21430451127819,65.22601503759398
30,1,66.17263784461153,116.36309523809524,126.21660401002507,67.2093671679198,37.82408521303258,37.739147869674184,66.17263784461153
31,1,66.80553884711779,116.39172932330827,127.24194235588972,67.80541979949875,37.89899122807017,37.90295739348371,66.80553884711779
32,1,66.02283834586466,116.22077694235588,127.03634085213032,66.97046365914787,37.23665413533835,37.53404761904762,66.02283834586466
33,1,45.139598997493735,133.15790726817042,246.40176691729323,45.81236215538847,19.451854636591477,1.7353258145363408,45.139598997493735
34,1,65.35721177944862,116.35748120300752,129.03426691729322,66.25144110275689,36.379592731829575,36.80517543859649,65.35721177944862
35,1,58.85474310776942,116.84817669172932,128.08798245614034,60.08744987468672,34.40578947368421,32.901397243107766,58.85474310776942
36,1,64.72963032581454,116.04612155388472,127.7560275689223,65.67025062656641,36.26880952380952,36.9524686716792,64.72963032581454
37,1,58.68087719298246,116.85597117794487,128.89471804511277,59.8878320802005,34.15483082706767,32.708878446115285,58.68087719298246
38,1,64.96069548872181,115.85997493734335,128.78202380952382,65.91906015037594,36.18645989974937,36.86496240601504,64.96069548872181
39,1,65.04919172932331,116.29158521303258,127.87234962406015,65.98777568922306,36.46178571428572,36.91098370927318,65.04919172932331
40,1,64.88878446115288,115.63320175438596,128.15384085213032,65.86878446115288,36.1556328320802,37.06881578947368,64.88878446115288
41,1,65.28265037593985,116.36911027568922,129.00226817042608,66.19248120300752,36.3434962406015,36.73543859649123,65.28265037593985
42,1,65.17977443609023,116.07172932330828,129.11616541353382,66.13320175438596,36.20166666666667,36.73655388471178,65.17977443609023
43,1,65.37476817042607,116.55407268170426,129.6038784461153,66.30937343358396,36.41078320802005,36.61699874686717,65.37476817042607
44,1,64.99130952380952,115.87283834586466,128.571992481203,65.95084586466166,36.18909147869674,36.726854636591476,64.99130952380952
45,1,64.87839598997493,116.41945488721805,128.80830200501254,65.83654761904762,36.314423558897246,36.64234962406015,64.87839598997493
46,1,59.013934837092734,116.63686090225563,128.87177318295738,60.20067669172932,34.13698621553885,32.95374686716792,59.013934837092734
47,1,65.01188596491228,116.08447368421052,128.6809649122807,65.93832706766918,36.14434837092732,36.743395989974935,65.01188596491228
48,1,58.61725563909774,117.23527568922306,128.71971804511278,59.78812656641604,34.1537343358396,32.5012030075188,58.61725563909774
49,1,64.61619047619048,116.03399122807018,128.5975626566416,65.55315789473684,35.93170426065163,36.62993107769424,64.61619047619048
50,1,64.83293859649123,115.8478320802005,129.58701754385964,65.7530701754386,35.715858395989976,36.51546365914787,64.83293859649123
51,1,57.597863408521306,117.73674812030075,128.80117794486216,58.74646616541354,33.72053258145363,31.634166666666665,57.597863408521306
52,1,59.2880701754386,117.71389097744361,129.8040664160401,60.44340852130326,34.356152882205514,32.416121553884715,59.2880701754386
53,1,66.69787593984962,117.03318922305765,128.75741854636593,67.62441102756893,37.48528195488722,37.30135338345865,66.69787593984962
54,1,60.663220551378444,117.6920426065163,128.4127255639098,61.81418546365915,35.582086466165414,33.422211779448624,60.663220551378444
55,1,66.32083333333334,116.661835839599,128.10439223057645,67.2306328320802,37.20639097744361,37.21827067669173,66.32083333333334
56,1,60.1109335839599,118.06489348370927,129.2202694235589,61.19775062656642,35.060864661654136,32.890093984962405,60.1109335839599
57,1,65.8126253132832,116.79893483709273,130.787656641604,66.69120927318296,36.3060275689223,36.587926065162904,65.8126253132832
58,1,59.425219298245615,117.54887218045113,128.9114536340852,60.59266917293233,34.660269423558894,32.756817042606514,59.425219298245615
59,1,65.84333959899749,116.69649749373434,129.46189223057644,66.75463032581453,36.61803258145363,36.69954887218045,65.84333959899749
60,1,59.84464912280702,117.6287969924812,128.85502506265664,61.02764411027569,34.907218045112785,32.872230576441105,59.84464912280702
61,1,65.73155388471179,116.61063909774435,129.19510651629074,66.65144110275689,36.596641604010024,36.76660401002506,65.73155388471179
62,1,59.99108395989975,117.78453007518797,129.91709899749372,61.02750626566416,34.64193609022556,32.63779448621554,59.99108395989975
63,1,65.58914160401002,116.16117794486216,129.5745238095238,66.51667293233082,36.25499373433584,36.767769423558896,65.58914160401002
64,1,65.36719298245615,116.25570175438597,129.90043233082707,66.27085839598998,36.0178320802005,36.62778822055138,65.36719298245615
65,1,65.65594611528822,116.54178571428571,130.30584586466165,66.4678634085213,35.94379072681704,36.61625313283208,65.65594611528822
66,1,65.63612781954888,116.60635964912281,130.94670426065164,66.54305764411028,36.04973684210526,36.49538847117795,65.63612781954888
67,1,65.20102130325814,116.1548746867168,129.67018170426064,66.1172619047619,36.0212656641604,36.57394736842105,65.20102130325814
68,1,66.01558897243108,117.0632268170426,131.2592731829574,66.82991854636592,36.177700501253135,36.24234335839599,66.01558897243108
69,1,65.62860902255639,116.47778822055137,130.0587781954887,66.51578947368421,36.228201754385964,36.57700501253133,65.62860902255639
70,1,65.4128947368421,116.33709899749374,130.42590852130326,66.28441729323308,35.86940476190476,36.48025689223058,65.4128947368421
71,1,65.38863408521303,116.26871553884712,130.22630325814535,66.27571428571429,35.87871553884712,36.460012531328324,65.38863408521303
72,1,65.40669799498747,116.36916666666667,130.21931077694236,66.29935463659147,35.97654135338346,36.46005639097744,65.40669799498747
73,1,59.528051378446115,117.389492481203,130.43703007518798,60.64329573934837,34.10689223057644,32.63098370927318,59.528051378446115
74,1,65.78075187969925,116.36712406015037,131.31709273182958,66.65866541353384,35.85453634085213,36.47874060150376,65.78075187969925
75,1,59.763521303258145,117.86231203007519,130.82926691729324,60.80859649122807,34.20186090225564,32.347005012531326,59.763521303258145
76,1,65.62271929824561,116.23697994987468,131.06134085213031,66.52426691729323,35.830739348370926,36.42092731829574,65.62271929824561
77,1,59.3015664160401,118.16312656641604,130.47714912280702,60.37328947368421,34.23949874686717,32.08922305764411,59.3015664160401
78,1,65.43821428571428,116.64535087719298,130.55470551378446,66.26259398496241,35.81189223057644,36.21421052631579,65.43821428571428
79,1,64.92354636591479,115.8672619047619,129.88464285714286,65.85135338345864,35.70857142857143,36.49239348370927,64.92354636591479
80,1,65.5364724310777,116.29255012531328,131.07160401002506,66.42610902255639,35.704166666666666,36.4218045112782,65.5364724310777
81,1,66.27046992481203,116.93817042606516,131.6470551378446,67.08798245614035,36.08118421052632,36.19384711779448,66.27046992481203
82,1,66.00585213032582,116.96994360902255,131.27472431077695,66.84708020050125,36.2014724310777,36.24513784461153,66.00585213032582
83,1,65.74966165413534,116.21058270676691,131.5783082706767,66.63741854636592,35.612305764411026,36.444461152882205,65.74966165413534
84,1,65.85256265664161,117.00271303258145,131.5034022556391,66.64785087719298,35.916033834586464,36.1799686716792,65.85256265664161
85,1,65.65449248120301,116.48414786967419,132.1297619047619,66.48353383458647,35.626917293233085,36.223496240601506,65.65449248120301
